long,latt,location
0.13678,52.21328,"0.13678,52.21328"
0.04109,52.1291,"0.04109,52.1291"
0.22204,52.18268,"0.22204,52.18268"
0.3884,52.31143,"0.3884,52.31143"
-0.01782,52.05276,"-0.01782,52.05276"
0.16334,52.26391,"0.16334,52.26391"
0.16373,52.26002,"0.16373,52.26002"
0.60826,52.44532,"0.60826,52.44532"
0.79552,52.2656,"0.79552,52.2656"
0.38239,52.06244,"0.38239,52.06244"
0.06965,52.08709,"0.06965,52.08709"
0.2587,52.399,"0.2587,52.399"
0.25932,52.39915,"0.25932,52.39915"
0.712,52.24031,"0.712,52.24031"
0.05393,52.06693,"0.05393,52.06693"
0.05836,52.06524,"0.05836,52.06524"
0.2312,52.01668,"0.2312,52.01668"
0.25556,52.01431,"0.25556,52.01431"
0.16381,52.18896,"0.16381,52.18896"
-0.10002,51.57281,"-0.10002,51.57281"
0.23785,51.96141,"0.23785,51.96141"
0.23785,51.96141,"0.23785,51.96141"
0.724,52.41504,"0.724,52.41504"
0.724,52.41504,"0.724,52.41504"
0.76432,52.40546,"0.76432,52.40546"
0.25512,52.3074,"0.25512,52.3074"
0.25469,52.30797,"0.25469,52.30797"
0.71665,52.24832,"0.71665,52.24832"
0.71689,52.2484,"0.71689,52.2484"
0.61746,52.46306,"0.61746,52.46306"
0.2651,52.39116,"0.2651,52.39116"
-0.11719,52.2486,"-0.11719,52.2486"
-0.12003,52.25176,"-0.12003,52.25176"
0.2306,52.03456,"0.2306,52.03456"
0.20601,52.03619,"0.20601,52.03619"
0.78022,52.424,"0.78022,52.424"
0.70925,52.23161,"0.70925,52.23161"
-0.08505,52.2224,"-0.08505,52.2224"
0.13861,52.19331,"0.13861,52.19331"
0.7279,52.4156,"0.7279,52.4156"
0.72834,52.41561,"0.72834,52.41561"
0.16033,52.17788,"0.16033,52.17788"
0.13683,52.19484,"0.13683,52.19484"
0.43607,52.15105,"0.43607,52.15105"
0.43607,52.15105,"0.43607,52.15105"
-0.01822,52.04378,"-0.01822,52.04378"
0.68755,52.27442,"0.68755,52.27442"
0.13035,52.18753,"0.13035,52.18753"
0.13035,52.18753,"0.13035,52.18753"
0.6993,52.24925,"0.6993,52.24925"
0.85614,52.33962,"0.85614,52.33962"
0.15732,52.23866,"0.15732,52.23866"
0.2542,52.01863,"0.2542,52.01863"
-0.00904,52.26906,"-0.00904,52.26906"
0.12742,52.00886,"0.12742,52.00886"
0.1457,52.19852,"0.1457,52.19852"
0.13135,52.20269,"0.13135,52.20269"
0.67588,52.43824,"0.67588,52.43824"
0.74265,52.42928,"0.74265,52.42928"
0.09491,52.14199,"0.09491,52.14199"
-0.10998,52.23765,"-0.10998,52.23765"
-0.10054,52.13148,"-0.10054,52.13148"
0.04054,52.01887,"0.04054,52.01887"
0.7664,52.18446,"0.7664,52.18446"
0.41299,52.08879,"0.41299,52.08879"
0.41073,52.08874,"0.41073,52.08874"
0.72137,52.23767,"0.72137,52.23767"
0.89597,52.44397,"0.89597,52.44397"
0.14683,52.20951,"0.14683,52.20951"
0.77325,52.27001,"0.77325,52.27001"
0.6561,52.39133,"0.6561,52.39133"
